Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2023-03-01,11:00:00,,,Core Inflation (YoY) (Feb),3.09%,3.26%,3.27%
2023-03-01,11:00:00,,,Inflation (YoY) (Feb),5.47%,5.44%,5.28%
2023-03-01,11:00:00,,,Inflation (MoM) (Feb),0.16%,0.11%,0.34%
2023-03-07,10:00:00,,,FX Reserves (USD) (Feb),140.30B,,139.40B
2023-03-08,10:00:00,,,Consumer Confidence (Feb),122.4,,123
2023-03-09,11:00:00,,,Retail Sales (YoY) (Jan),-0.60%,,0.70%
2023-03-10,18:25:00,,,Car Sales (YoY),7.40%,,11.80%
2023-03-12,12:08:00,,,Motorbike Sales (YoY) (Feb),56.30%,,37.00%
2023-03-15,11:00:00,,,Export Growth (YoY) (Feb),4.51%,5.00%,16.43%
2023-03-15,11:00:00,,,Import Growth (YoY) (Feb),-4.32%,9.74%,1.27%
2023-03-15,11:00:00,,,Trade Balance (Feb),5.48B,3.27B,3.88B
2023-03-16,14:19:00,,,Loans (YoY) (Feb),10.64%,,10.53%
2023-03-16,14:24:00,,,Deposit Facility Rate (Mar),5.00%,5.00%,5.00%
