Trading Date,Open,High,Low,Close,Adj Close,Volume
2022-11-16 00:00:00+07:00,6175,6200,6100,6175,4610,60298900
2022-11-17 00:00:00+07:00,6200,6300,6050,6300,4703,35165100
2022-11-18 00:00:00+07:00,6275,6300,6200,6225,4647,29302300
2022-11-21 00:00:00+07:00,6275,6350,6250,6325,4722,19074900
2022-11-22 00:00:00+07:00,6325,6350,6225,6225,4647,33102700
2022-11-23 00:00:00+07:00,6275,6300,6200,6200,4629,30863200
2022-11-24 00:00:00+07:00,6200,6275,6200,6200,4629,21534300
2022-11-25 00:00:00+07:00,6175,6200,6125,6175,4610,40948100
2022-11-28 00:00:00+07:00,6175,6275,6150,6225,4647,37901700
2022-11-29 00:00:00+07:00,6125,6150,6025,6050,4517,121505900
2022-11-30 00:00:00+07:00,6050,6200,6025,6050,4517,191276100
2022-12-01 00:00:00+07:00,6100,6200,6100,6175,4610,88307900
2022-12-02 00:00:00+07:00,6175,6175,6050,6125,4573,51843800
2022-12-05 00:00:00+07:00,6075,6100,6000,6025,4498,64357800
2022-12-06 00:00:00+07:00,6000,6025,5800,5875,4386,69873000
2022-12-07 00:00:00+07:00,5800,5900,5700,5725,4274,116677600
2022-12-08 00:00:00+07:00,5650,5800,5550,5675,4237,161238600
2022-12-09 00:00:00+07:00,5700,5750,5650,5675,4237,55355700
2022-12-12 00:00:00+07:00,5675,5725,5625,5675,4237,92687900
2022-12-13 00:00:00+07:00,5700,5900,5675,5825,4349,113893000
2022-12-14 00:00:00+07:00,5925,5950,5775,5825,4349,78775300
2022-12-15 00:00:00+07:00,5825,5850,5750,5800,4330,61581800
2022-12-16 00:00:00+07:00,5775,5800,5700,5775,4311,95271600
2022-12-19 00:00:00+07:00,5850,5850,5650,5700,4255,57531200
2022-12-20 00:00:00+07:00,5675,5750,5675,5700,4255,25876100
2022-12-21 00:00:00+07:00,5700,5725,5650,5700,4255,34940600
2022-12-22 00:00:00+07:00,5700,5775,5675,5775,4311,32103400
2022-12-23 00:00:00+07:00,5750,5775,5650,5675,4237,31969000
2022-12-26 00:00:00+07:00,5675,5725,5625,5650,4218,13540500
2022-12-27 00:00:00+07:00,5700,5750,5650,5675,4237,13680300
2022-12-28 00:00:00+07:00,5725,5725,5575,5625,4199,29919100
2022-12-29 00:00:00+07:00,5600,5675,5550,5650,4218,32241500
2022-12-30 00:00:00+07:00,5675,5750,5650,5700,4255,36384500
2023-01-02 00:00:00+07:00,5725,5725,5625,5700,4255,12068800
2023-01-03 00:00:00+07:00,5675,5700,5625,5650,4218,22854400
2023-01-04 00:00:00+07:00,5650,5700,5625,5675,4237,32578900
2023-01-05 00:00:00+07:00,5650,5700,5375,5375,4013,106047000
2023-01-06 00:00:00+07:00,5400,5525,5350,5450,4069,59754600
2023-01-09 00:00:00+07:00,5500,5500,5275,5350,3994,63437700
2023-01-10 00:00:00+07:00,5375,5375,5275,5325,3975,62964600
2023-01-11 00:00:00+07:00,5325,5350,5200,5225,3901,45514800
2023-01-12 00:00:00+07:00,5200,5375,5200,5350,3994,61374300
2023-01-13 00:00:00+07:00,5375,5500,5300,5450,4069,52039800
2023-01-16 00:00:00+07:00,5525,5600,5475,5600,4181,48458700
2023-01-17 00:00:00+07:00,5600,5650,5500,5550,4143,66999600
2023-01-18 00:00:00+07:00,5550,5650,5550,5650,4218,28120700
2023-01-19 00:00:00+07:00,5650,5875,5650,5850,4367,95543300
2023-01-20 00:00:00+07:00,5875,5900,5775,5900,4405,54173000
2023-01-24 00:00:00+07:00,5900,5950,5850,5925,4423,26217800
2023-01-25 00:00:00+07:00,5900,5950,5850,5950,4442,18115800
2023-01-26 00:00:00+07:00,5925,5950,5850,5900,4405,40168400
2023-01-27 00:00:00+07:00,5925,5950,5875,5875,4386,31869800
2023-01-30 00:00:00+07:00,5875,5900,5775,5875,4386,34817500
2023-01-31 00:00:00+07:00,5925,6025,5900,6000,4479,89064100
2023-02-01 00:00:00+07:00,6000,6000,5925,6000,4479,35355300
2023-02-02 00:00:00+07:00,5950,5975,5875,5925,4423,30039900
2023-02-03 00:00:00+07:00,5975,5975,5875,5875,4386,24629700
2023-02-06 00:00:00+07:00,5875,5900,5825,5850,4367,31033700
2023-02-07 00:00:00+07:00,5825,5925,5825,5875,4386,29536700
2023-02-08 00:00:00+07:00,5875,5900,5775,5800,4330,27235100
2023-02-09 00:00:00+07:00,5825,5850,5675,5675,4237,48263600
2023-02-10 00:00:00+07:00,5600,5700,5550,5700,4255,71158200
2023-02-13 00:00:00+07:00,5700,5750,5675,5725,4274,22154800
2023-02-14 00:00:00+07:00,5750,5800,5700,5725,4274,31292000
2023-02-15 00:00:00+07:00,5725,5725,5575,5675,4237,38862100
2023-02-16 00:00:00+07:00,5700,5700,5625,5700,4255,19014100
2023-02-17 00:00:00+07:00,5700,5725,5625,5675,4237,31273200
